 1.53669990e+07  8.82000567e+01  1.53669990e+07 -7.61059187e+00 
 1.59698775e+07  8.81977315e+01  1.59698775e+07 -7.90851614e+00 
 1.65964081e+07  8.81952210e+01  1.65964081e+07 -8.21804881e+00 
 1.72475189e+07  8.81925108e+01  1.72475189e+07 -8.53963560e+00 
 1.79241740e+07  8.81895848e+01  1.79241740e+07 -8.87373856e+00 
 1.86273756e+07  8.81864261e+01  1.86273756e+07 -9.22083655e+00 
 1.93581653e+07  8.81830163e+01  1.93581653e+07 -9.58142574e+00 
 2.01176254e+07  8.81793355e+01  2.01176254e+07 -9.95602013e+00 
 2.09068806e+07  8.81753624e+01  2.09068806e+07 -1.03451521e+01 
 2.17270999e+07  8.81710739e+01  2.17270999e+07 -1.07493727e+01 
 2.25794980e+07  8.81664452e+01  2.25794980e+07 -1.11692525e+01 
 2.34653375e+07  8.81614496e+01  2.34653375e+07 -1.16053817e+01 
 2.43859302e+07  8.81560582e+01  2.43859302e+07 -1.20583709e+01 
 2.53426397e+07  8.81502401e+01  2.53426397e+07 -1.25288515e+01 
 2.63368828e+07  8.81439618e+01  2.63368828e+07 -1.30174759e+01 
 2.73701320e+07  8.81371875e+01  2.73701320e+07 -1.35249181e+01 
 2.84439178e+07  8.81298783e+01  2.84439178e+07 -1.40518743e+01 
 2.95598303e+07  8.81219929e+01  2.95598303e+07 -1.45990628e+01 
 3.07195223e+07  8.81134863e+01  3.07195223e+07 -1.51672245e+01 
 3.19247115e+07  8.81043106e+01  3.19247115e+07 -1.57571233e+01 
 3.31771826e+07  8.80944140e+01  3.31771826e+07 -1.63695461e+01 
 3.44787907e+07  8.80837409e+01  3.44787907e+07 -1.70053030e+01 
 3.58314635e+07  8.80722319e+01  3.58314635e+07 -1.76652272e+01 
 3.72372044e+07  8.80598228e+01  3.72372044e+07 -1.83501752e+01 
 3.86980954e+07  8.80464450e+01  3.86980954e+07 -1.90610264e+01 
 4.02163001e+07  8.80320250e+01  4.02163001e+07 -1.97986832e+01 
 4.17940670e+07  8.80164838e+01  4.17940670e+07 -2.05640700e+01 
 4.34337329e+07  8.79997370e+01  4.34337329e+07 -2.13581333e+01 
 4.51377263e+07  8.79816941e+01  4.51377263e+07 -2.21818407e+01 
 4.69085707e+07  8.79622584e+01  4.69085707e+07 -2.30361800e+01 
 4.87488890e+07  8.79413266e+01  4.87488890e+07 -2.39221584e+01 
 5.06614067e+07  8.79187882e+01  5.06614067e+07 -2.48408007e+01 
 5.26489564e+07  8.78945255e+01  5.26489564e+07 -2.57931486e+01 
 5.47144816e+07  8.78684129e+01  5.47144816e+07 -2.67802582e+01 
 5.68610416e+07  8.78403168e+01  5.68610416e+07 -2.78031985e+01 
 5.90918154e+07  8.78100948e+01  5.90918154e+07 -2.88630490e+01 
 6.14101071e+07  8.77775957e+01  6.14101071e+07 -2.99608968e+01 
 6.38193500e+07  8.77426592e+01  6.38193500e+07 -3.10978343e+01 
